,date,trainer,appear_cum,win_cum,top2_cum,top3_cum,win_rate,top2_rate,top3_rate
195,2015-07-01,A T Millard,42,5,8,12,0.11904761904761904,0.19047619047619047,0.2857142857142857
196,2015-07-01,C Fownes,60,6,8,14,0.1,0.13333333333333333,0.23333333333333334
197,2015-07-01,C H Yip,49,2,5,8,0.04081632653061224,0.10204081632653061,0.16326530612244897
198,2015-07-01,C S Shum,37,2,6,11,0.05405405405405406,0.16216216216216217,0.2972972972972973
199,2015-07-01,C W Chang,32,0,1,4,0.0,0.03125,0.125
200,2015-07-01,D Cruz,36,1,1,4,0.027777777777777776,0.027777777777777776,0.1111111111111111
201,2015-07-01,D E Ferraris,38,2,5,6,0.05263157894736842,0.13157894736842105,0.15789473684210525
202,2015-07-01,D J Hall,27,4,6,7,0.14814814814814814,0.2222222222222222,0.25925925925925924
203,2015-07-01,J Moore,46,9,15,19,0.1956521739130435,0.32608695652173914,0.41304347826086957
204,2015-07-01,J Size,40,9,14,21,0.225,0.35,0.525
205,2015-07-01,K L Man,43,2,7,9,0.046511627906976744,0.16279069767441862,0.20930232558139536
206,2015-07-01,K W Lui,32,5,7,10,0.15625,0.21875,0.3125
207,2015-07-01,L Ho,22,0,2,6,0.0,0.09090909090909091,0.2727272727272727
208,2015-07-01,P F Yiu,39,2,7,9,0.05128205128205128,0.1794871794871795,0.23076923076923078
209,2015-07-01,P O'Sullivan,29,2,4,6,0.06896551724137931,0.13793103448275862,0.20689655172413793
210,2015-07-01,R Gibson,33,1,6,8,0.030303030303030304,0.18181818181818182,0.24242424242424243
211,2015-07-01,S Woods,26,0,0,1,0.0,0.0,0.038461538461538464
212,2015-07-01,T K Ng,22,1,2,3,0.045454545454545456,0.09090909090909091,0.13636363636363635
213,2015-07-01,T P Yung,38,3,4,6,0.07894736842105263,0.10526315789473684,0.15789473684210525
214,2015-07-01,W Y So,48,2,8,10,0.041666666666666664,0.16666666666666666,0.20833333333333334
215,2015-07-01,Y S Tsui,40,5,10,15,0.125,0.25,0.375
216,2015-07-05,A Lee,40,4,4,7,0.1,0.1,0.175
217,2015-07-05,A S Cruz,57,2,10,12,0.03508771929824561,0.17543859649122806,0.21052631578947367
218,2015-07-05,A Schutz,25,2,4,9,0.08,0.16,0.36
219,2015-07-05,A T Millard,47,6,9,13,0.1276595744680851,0.19148936170212766,0.2765957446808511
220,2015-07-05,C Fownes,72,8,11,18,0.1111111111111111,0.1527777777777778,0.25
221,2015-07-05,C H Yip,57,3,7,10,0.05263157894736842,0.12280701754385964,0.17543859649122806
